Date,Close,Volume,Open,High,Low,SMA_50,SMA_200,RSI,ATR
2024-04-03,131.05,4613139,129.74,132.19,129.72,128.3932,153.04375,20.44224351586938,22.760000000000005
2024-04-02,130.68,3696585,130.16,130.75,128.83,128.1354,152.8116,27.17849565851597,22.760000000000005
2024-04-01,133.35,5666957,134.54,134.95,132.33,127.9992,152.61685,35.454943440579115,20.109999999999985
2024-03-28,134.03,3843739,134.13,135.162,133.78,127.895,152.42125,32.80969304972183,19.802000000000007
2024-03-27,134.08,4600468,133.0,134.14,131.34,127.81720000000001,152.27055,31.668841341117272,17.572000000000003
2024-03-26,130.81,6567753,132.87,133.09,130.68,127.66059999999999,152.10565,23.31743457835445,16.562000000000012
2024-03-25,131.88,5737534,131.76,132.675,131.645,127.5244,151.9496,23.65374134332272,12.57180000000001
2024-03-22,132.94,4111749,133.49,133.99,132.75,127.5044,151.75945,19.126402444309022,10.182000000000002
2024-03-21,133.69,4330555,134.67,135.1999,133.51,127.507,151.57524999999998,11.456570094572513,10.119900000000015
2024-03-20,132.45,6279133,129.02,132.64,128.48,127.49,151.35514999999998,15.497186622086815,9.32990000000001
2024-03-19,129.07,5291804,126.34,129.21,125.58,127.47179999999999,151.13365,-3.688519374501098,9.619900000000015
2024-03-18,127.29,6188835,128.17,129.2445,126.98,127.36460000000001,150.93355,-8.101059429120653,9.619900000000015
2024-03-15,125.03,6092288,125.41,126.53,124.045,127.15520000000001,150.71519999999998,-15.700712681369794,11.154900000000012
2024-03-14,127.8,5564594,129.33,129.46,125.491,127.00660000000002,150.50050000000002,5.480133051686096,11.154900000000012
2024-03-13,128.71,3707952,129.55,129.7099,127.62,126.92740000000002,150.2596,-8.457466226968165,11.154900000000012
2024-03-12,129.39,6147900,126.92,129.81,125.0,126.7994,149.9933,-4.109367968269552,11.154900000000012
2024-03-11,125.37,7690055,124.75,125.8,123.33,126.5668,149.70695,-36.67918752728795,11.869900000000015
2024-03-08,125.73,9774569,128.57,130.6,125.29,126.3592,149.45005,-38.87313763754079,11.869900000000015
2024-03-07,128.15,5795806,126.93,128.93,126.215,126.21039999999999,149.2211,-22.12999491080309,11.869900000000015
2024-03-06,124.54,6240698,125.12,126.2,123.54,125.9998,149.00195,-23.8616502612593,11.869900000000015
2024-03-05,122.7,6849301,124.941,125.32,121.0,125.73199999999999,148.7718,-40.47493203031459,14.199900000000014
2024-03-04,126.49,4766414,126.38,127.94,126.315,125.6376,148.4785,-20.743316467018687,14.199900000000014
2024-03-01,127.04,6119134,124.16,127.31,123.83,125.587,148.17545,-21.491293178509252,11.639999999999986
2024-02-29,123.43,6950937,123.55,124.74,121.57,125.46459999999999,147.8655,-30.533939026679036,9.599999999999994
2024-02-28,122.25,3882313,121.68,122.76,121.3828,125.3276,147.5483,-22.840769829362927,9.599999999999994
2024-02-27,122.81,4652390,122.69,123.02,121.28,125.2432,147.21914999999998,-13.694116990254813,9.599999999999994
2024-02-26,122.23,4292644,123.88,124.2193,122.12,125.1458,146.9079,-8.115873791385212,9.599999999999994
2024-02-23,123.53,6649329,124.63,125.28,123.06,125.08400000000002,146.59475,-14.070415124151737,9.599999999999994
2024-02-22,123.4,6293336,120.91,124.1,120.27,125.09479999999999,146.26565,-18.589340119816967,10.329999999999998
2024-02-21,116.25,6547995,115.02,116.39,113.73,125.051,145.90545,-46.597458341833146,16.86999999999999
2024-02-20,115.95,6589161,116.71,117.19,114.39,125.06299999999999,145.53934999999998,-31.677785157917214,16.86999999999999
2024-02-16,117.97,6946900,119.61,120.4,117.47,125.09,145.19989999999999,-23.061398004995382,15.200000000000003
2024-02-15,119.82,6601879,117.99,119.985,117.59,125.0392,144.8706,-25.129339326287692,14.209999999999994
2024-02-14,117.56,6561849,116.34,117.925,114.6626,124.9676,144.53495,-21.400502335968255,14.209999999999994
2024-02-13,114.51,9210621,114.8,115.75,112.09,124.90100000000001,144.2004,-26.055876012523157,15.849999999999994
2024-02-12,119.42,5474074,119.65,121.26,118.93,124.90240000000001,143.8809,-18.710655708081163,15.219999999999999
2024-02-09,119.62,5414862,118.0,119.99,117.74,124.90460000000002,143.57685,-19.888125955909132,13.189999999999998
2024-02-08,117.71,4075724,117.53,117.94,116.92,124.94980000000001,143.2717,-15.375921938462497,13.189999999999998
2024-02-07,117.57,5542781,116.36,117.93,115.74,125.0502,142.97375,-12.119841771890137,13.189999999999998
2024-02-06,114.74,6819237,114.47,115.02,113.4499,125.0344,142.67495,-23.595790774965252,13.189999999999998
2024-02-05,113.82,11377300,114.64,114.96,112.23,124.98380000000002,142.37165000000002,-25.091708247891376,13.189999999999998
2024-02-02,115.11,9527952,111.91,116.3,111.68,124.9156,142.08375,-24.721789623821294,12.419999999999987
2024-02-01,111.61,15098050,108.58,111.68,108.03,124.7626,141.78905,-37.93951106526376,13.230000000000004
2024-01-31,107.56,10411480,111.5,111.8299,107.49,124.43700000000001,141.4391,-31.781219663379886,13.77000000000001
2024-01-30,113.14,4861260,112.88,113.61,112.57,124.11179999999999,141.099,-5.588903519262217,13.77000000000001
2024-01-29,113.38,5696262,110.96,113.51,110.61,123.84719999999999,140.7616,-10.56171432862638,13.77000000000001
2024-01-26,110.92,10774920,110.93,111.98,110.23,123.4552,140.4027,-24.646226611819813,13.77000000000001
2024-01-25,111.32,6089594,110.95,111.48,109.51,123.0802,140.04815,-15.95929103203433,13.77000000000001
2024-01-24,109.55,7679580,111.18,111.8714,109.345,122.67259999999999,139.69545,-12.654042155152638,13.77000000000001
2024-01-23,109.24,6720797,108.68,109.43,107.955,122.33380000000001,139.36175,-39.03337069557526,12.5
2024-01-22,108.35,12762940,108.71,109.56,107.92,121.87979999999999,139.08450000000002,-45.88462167709014,10.450000000000003
2024-01-19,107.66,10010820,104.6,107.91,104.14,121.41939999999998,138.832,-39.86744561358543,13.790000000000006
2024-01-18,103.9,7684364,102.28,104.22,101.27,120.83040000000001,138.5556,-60.01496858662662,15.030000000000001
2024-01-17,101.32,8442340,100.96,101.62,99.72,120.1762,138.27555,-60.454232324214246,16.58
2024-01-16,103.06,13261840,103.261,104.15,101.82,119.5558,137.9546,-39.909317819350264,16.58
2024-01-12,104.25,6557121,104.97,105.48,103.29,119.0246,137.63189999999997,-39.75544663538906,13.89
2024-01-11,104.08,8716906,104.87,105.2201,101.38,118.46860000000001,137.31195,-26.066746242270824,13.89
2024-01-10,104.36,9823622,102.8,104.93,102.6,117.89699999999999,137.00105000000002,-10.207003289260868,13.89
2024-01-09,102.56,11699840,101.32,103.325,100.99,117.2744,136.6797,-89.55550603618767,13.790000000000006
2024-01-08,103.1,8596427,99.22,103.23,99.15,116.6874,136.36625,-82.38189989325514,12.829999999999998
2024-01-05,98.93,10967370,98.65,100.55,98.0,116.08460000000001,136.0082,-89.8020129952277,13.871399999999994
